strategy,scenario,seed,max_steps,environment_backend,completed,completion_rate,makespan,delivered_resources,total_resources,total_collected_value,average_travel_distance,idle_time_ratio,average_team_formation_time,replans,communication_messages,llm_token_usage,average_llm_latency_ms,invalid_llm_outputs,failure_recovery_time,stage_available,stage_world_path,stage_bitmap_path,stage_manifest_path,stage_smoketest_passed,notes
centralized,baseline,0,220,stage_world,False,0.875,220,7,8,87,173.0,0.21363636363636362,13.142857142857142,7,902,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed0.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed0_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed0_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,1,220,stage_world,True,1.0,140,8,8,91,127.75,0.0875,8.25,8,584,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed1.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed1_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed1_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,2,220,stage_world,True,1.0,199,8,8,100,149.5,0.24874371859296482,10.5,7,815,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed2.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed2_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed2_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,3,220,stage_world,True,1.0,150,8,8,100,130.5,0.13,7.375,7,622,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed3.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed3_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed3_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,4,220,stage_world,True,1.0,134,8,8,76,125.5,0.06343283582089553,8.25,7,555,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed4.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed4_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed4_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,5,220,stage_world,True,1.0,116,8,8,100,107.5,0.07327586206896551,8.5,7,484,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed5.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed5_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed5_stage_manifest.json,,"{'explored_ratio': 0.9825174825174825, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,6,220,stage_world,True,1.0,198,8,8,93,179.0,0.09595959595959595,13.625,7,815,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed6.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed6_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed6_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,7,220,stage_world,True,1.0,86,8,8,93,75.0,0.12790697674418605,2.5,7,362,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed7.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed7_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed7_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,8,220,stage_world,True,1.0,150,8,8,91,136.0,0.09333333333333334,10.125,8,623,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed8.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed8_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed8_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,9,220,stage_world,True,1.0,156,8,8,86,143.75,0.07852564102564102,8.125,8,650,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed9.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed9_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed9_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
