scenario,strategy,completion_rate_mean,completion_rate_std,makespan_mean,makespan_std,total_value_mean,total_value_std,communication_messages_mean,average_team_formation_time_mean,run_count,makespan_ci95,completion_rate_ci95
baseline,centralized,0.9875,0.03847418820319328,156.75,34.015282942880404,92.4,7.949842765740716,648.8,8.641964285714286,20,14.907855047097257,0.016862056439486288
baseline,contract_net,0.99375,0.027950849718747374,151.7,34.11605579720339,93.0,7.973640785012898,62.15,9.6,20,14.952020697797618,0.01225
baseline,llm,0.98125,0.0457934435665654,157.2,35.31005522510549,92.05,7.970174666249562,78.35,9.04732142857143,20,15.475314019431073,0.020069861536773568
high_coord,centralized,0.945,0.09445132413883327,225.65,29.56041983891013,155.25,14.461837256797814,1163.95,11.307876984126985,20,12.95542520783434,0.0413951179425024
high_coord,contract_net,0.945,0.09445132413883327,222.8,32.3949313774141,154.35,15.342664971283591,97.35,11.35329365079365,20,14.19770466252241,0.0413951179425024
high_coord,llm,0.945,0.09445132413883323,227.0,30.272447086939952,155.4,14.55081838899358,138.85,11.499126984126985,20,13.26748490820599,0.041395117942502384
more_agents,centralized,1.0,0.0,197.4,27.764801647523356,161.25,12.7356730650976,1231.4,11.408333333333333,20,12.168460837669432,0.0
more_agents,contract_net,1.0,0.0,189.9,26.249611525947543,161.25,12.7356730650976,111.45,11.820833333333333,20,11.504399487976215,0.0
more_agents,llm,0.9916666666666666,0.0372677996249965,203.95,26.958984441281597,159.55,13.339592828947403,107.25,10.5525,20,11.815295875752707,0.016333333333333335
stress_failure,centralized,0.94375,0.10319724343523709,185.9,35.801940553109986,88.8,12.429167732648704,764.6,12.252916666666668,20,15.690892269419429,0.04522818607670967
stress_failure,contract_net,0.9625,0.07140507132218492,186.1,33.34966266695962,90.8,10.822004873113125,64.85,11.828273809523811,20,14.616134099001691,0.03129465230926674
stress_failure,llm,0.95625,0.09314497754632434,189.0,28.477137644451776,91.0,11.04059494964403,92.35,11.6725,20,12.480655853212031,0.04082258630502946
stress_sensing,centralized,0.99375,0.027950849718747364,162.6,29.16089667237347,94.35,7.727428931716993,672.05,8.291964285714286,20,12.7803264598778,0.012249999999999995
stress_sensing,contract_net,0.9875,0.038474188203193274,160.7,33.99860678260059,93.55,8.042485868645866,64.55,8.925892857142857,20,14.900546397611343,0.016862056439486284
stress_sensing,llm,0.975,0.0653935454725746,167.85,37.576973632377864,92.4,9.304215230347562,83.0,9.032142857142857,20,16.468834816419964,0.02865998494141448
